race_5cat,inc_4cat_50k,educ_4cat,ppagecat,ppgender,B2,B3,EF1,EF2,atleast_okay,weight
White,"Less than $25,000",Some college/technical or associates degree,75+,Male,Doing okay,Somewhat worse off,No,Yes,Yes,0.4958
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Doing okay,Much better off,No,Yes,Yes,0.6344
White,"$50,000–$99,999",High school degree or GED,45-54,Male,Living comfortably,About the same,Yes,,Yes,0.974
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Male,Doing okay,About the same,Yes,,Yes,0.8364
White,"$25,000–$49,999",High school degree or GED,75+,Female,Living comfortably,Somewhat worse off,No,No,Yes,0.7631
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Doing okay,Somewhat worse off,No,Yes,Yes,0.9554
White,"$100,000 or more",Bachelor's degree or more,75+,Female,Living comfortably,Somewhat better off,No,Yes,Yes,0.8301
White,"$25,000–$49,999",Bachelor's degree or more,75+,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.7227
Hispanic,"$100,000 or more",Bachelor's degree or more,25-34,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.8553
Asian,"$100,000 or more",Bachelor's degree or more,45-54,Female,Living comfortably,About the same,No,No,Yes,1.2533
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.0071
White,"$50,000–$99,999",Bachelor's degree or more,45-54,Female,Doing okay,About the same,Yes,,Yes,0.7644
White,"$25,000–$49,999",Bachelor's degree or more,55-64,Male,Just getting by,About the same,No,No,No,0.6344
White,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Doing okay,About the same,Yes,,Yes,0.7976
White,"$50,000–$99,999",Some college/technical or associates degree,75+,Male,Living comfortably,About the same,Yes,,Yes,1.1609
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.5601
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Doing okay,Somewhat better off,Yes,,Yes,0.4976
White,"$100,000 or more",Some college/technical or associates degree,75+,Female,Living comfortably,About the same,Yes,,Yes,0.7818
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.6161
White,"$25,000–$49,999",High school degree or GED,75+,Female,Doing okay,About the same,Yes,,Yes,0.6696
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.4976
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Doing okay,About the same,Yes,,Yes,0.6185
White,"$100,000 or more",Bachelor's degree or more,75+,Female,Living comfortably,About the same,Yes,,Yes,1.0543
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Living comfortably,Much better off,Yes,,Yes,0.9568
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Living comfortably,About the same,Yes,,Yes,0.7644
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.6936
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Living comfortably,About the same,Yes,,Yes,0.6978
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Male,Doing okay,About the same,No,Yes,Yes,0.71
Black,"$50,000–$99,999",Bachelor's degree or more,45-54,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.9332
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Doing okay,About the same,Yes,,Yes,0.6978
White,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Living comfortably,About the same,Yes,,Yes,0.8895
White,"Less than $25,000",High school degree or GED,35-44,Male,Just getting by,About the same,No,No,No,1.1864
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Doing okay,About the same,Yes,,Yes,1.0543
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Doing okay,About the same,Yes,,Yes,0.7856
White,"$100,000 or more",Bachelor's degree or more,65-74,Female,Living comfortably,About the same,Yes,,Yes,1.0279
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Doing okay,About the same,Yes,,Yes,1.247
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Male,Just getting by,Somewhat worse off,Yes,,No,0.8154
White,"$50,000–$99,999",Bachelor's degree or more,75+,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.7227
White,"$100,000 or more",Some college/technical or associates degree,65-74,Female,Doing okay,Somewhat worse off,Yes,,Yes,1.0625
White,"$100,000 or more",Bachelor's degree or more,75+,Female,Living comfortably,Somewhat better off,Yes,,Yes,1.5434
Hispanic,"$50,000–$99,999",Some college/technical or associates degree,65-74,Male,Living comfortably,Much better off,Yes,,Yes,0.802
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Just getting by,Somewhat worse off,No,Yes,No,0.5601
White,"$50,000–$99,999",Bachelor's degree or more,75+,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.4754
White,"$25,000–$49,999",High school degree or GED,75+,Female,Living comfortably,About the same,Yes,,Yes,0.8969
White,"$100,000 or more",Some college/technical or associates degree,75+,Female,Living comfortably,Much better off,Yes,,Yes,1.2884
Asian,"$100,000 or more",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.44
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.7856
White,"$25,000–$49,999",Bachelor's degree or more,65-74,Female,Doing okay,About the same,Yes,,Yes,0.7275
Other,"$25,000–$49,999",Bachelor's degree or more,75+,Female,Doing okay,About the same,No,Yes,Yes,0.8414
Other,"$50,000–$99,999",Some college/technical or associates degree,75+,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.1788
White,"$50,000–$99,999",Some college/technical or associates degree,25-34,Female,Doing okay,Somewhat worse off,No,No,Yes,1.1065
Hispanic,"$50,000–$99,999",High school degree or GED,45-54,Female,Doing okay,About the same,Yes,,Yes,1.7489
White,"$100,000 or more",Bachelor's degree or more,65-74,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.9365
Hispanic,"$100,000 or more",Bachelor's degree or more,35-44,Female,Doing okay,Somewhat worse off,Yes,,Yes,1.4989
White,"$50,000–$99,999",Bachelor's degree or more,55-64,Male,Living comfortably,Much better off,No,Yes,Yes,0.4976
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Doing okay,Much better off,No,Yes,Yes,1.1806
White,"Less than $25,000",Some college/technical or associates degree,75+,Female,Just getting by,About the same,No,Yes,No,0.5082
White,"$50,000–$99,999",High school degree or GED,45-54,Male,Finding it difficult to get by,About the same,No,No,No,1.1235
Black,"$50,000–$99,999",High school degree or GED,65-74,Male,Doing okay,About the same,No,No,Yes,1.271
White,"$50,000–$99,999",Bachelor's degree or more,75+,Male,Living comfortably,About the same,No,Yes,Yes,0.4786
Other,"$50,000–$99,999",Some college/technical or associates degree,45-54,Female,Finding it difficult to get by,Much worse off,No,No,No,0.3989
White,"$25,000–$49,999",High school degree or GED,65-74,Male,Living comfortably,About the same,No,Yes,Yes,0.992
Asian,"$50,000–$99,999",Bachelor's degree or more,45-54,Male,Finding it difficult to get by,Much worse off,No,No,No,0.681
White,"Less than $25,000",Some college/technical or associates degree,45-54,Female,Just getting by,Somewhat worse off,Yes,,No,0.8111
White,"$25,000–$49,999",Some college/technical or associates degree,65-74,Female,Just getting by,Much worse off,No,No,No,0.6987
White,"$25,000–$49,999",Bachelor's degree or more,65-74,Male,Doing okay,About the same,Yes,,Yes,0.2653
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Living comfortably,Somewhat better off,No,Yes,Yes,0.6344
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.7521
White,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Living comfortably,Somewhat worse off,Yes,,Yes,0.6349
Black,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.7197
White,"$25,000–$49,999",High school degree or GED,75+,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.6105
White,"$100,000 or more",High school degree or GED,75+,Female,Living comfortably,About the same,No,Yes,Yes,0.8333
White,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.9473
Asian,"$100,000 or more",Bachelor's degree or more,45-54,Male,Living comfortably,About the same,Yes,,Yes,0.9776
White,"$50,000–$99,999",High school degree or GED,65-74,Female,Living comfortably,About the same,Yes,,Yes,0.8491
White,"$25,000–$49,999",High school degree or GED,65-74,Female,Just getting by,Somewhat worse off,No,No,No,0.7631
White,"$25,000–$49,999",High school degree or GED,65-74,Female,Just getting by,Somewhat worse off,No,No,No,0.5846
White,"$25,000–$49,999",High school degree or GED,55-64,Female,Just getting by,About the same,No,No,No,0.8229
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,No,Yes,Yes,0.6936
Hispanic,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.62
White,"$25,000–$49,999",High school degree or GED,65-74,Female,Living comfortably,About the same,Yes,,Yes,0.8969
Hispanic,"$100,000 or more",High school degree or GED,45-54,Female,Living comfortably,About the same,No,No,Yes,2.1657
White,"$50,000–$99,999",High school degree or GED,55-64,Female,Finding it difficult to get by,About the same,No,No,No,1.0342
White,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.9247
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,Somewhat worse off,Yes,,Yes,0.6324
Asian,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,Somewhat worse off,Yes,,Yes,0.7651
White,"$50,000–$99,999",High school degree or GED,65-74,Female,Doing okay,About the same,Yes,,Yes,0.8491
White,"$25,000–$49,999",High school degree or GED,75+,Female,Just getting by,Somewhat worse off,Yes,,No,0.7266
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Living comfortably,About the same,Yes,,Yes,0.9568
Black,"$50,000–$99,999",Bachelor's degree or more,25-34,Male,Doing okay,About the same,No,Yes,Yes,0.8224
White,"$50,000–$99,999",High school degree or GED,55-64,Female,Just getting by,Somewhat worse off,Yes,,No,1.1878
White,"$50,000–$99,999",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.5461
Hispanic,"$50,000–$99,999",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.5637
White,"$25,000–$49,999",Some college/technical or associates degree,75+,Male,Doing okay,Much worse off,Yes,,Yes,0.565
White,"$100,000 or more",Bachelor's degree or more,25-34,Female,Doing okay,Somewhat worse off,Yes,,Yes,1.3881
White,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.9937
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Living comfortably,Somewhat worse off,Yes,,Yes,1.0543
White,"$100,000 or more",High school degree or GED,45-54,Female,Just getting by,Somewhat worse off,Yes,,No,1.1109
White,"$25,000–$49,999",Some college/technical or associates degree,65-74,Female,Just getting by,Somewhat worse off,No,No,No,0.5945
Other,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,Somewhat worse off,Yes,,Yes,0.1788
White,"$25,000–$49,999",High school degree or GED,65-74,Female,Just getting by,Somewhat worse off,No,No,No,0.6778
Black,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Just getting by,About the same,No,No,No,1.6361
Black,"$100,000 or more",Bachelor's degree or more,45-54,Male,Living comfortably,About the same,Yes,,Yes,0.6752
White,"Less than $25,000",High school degree or GED,45-54,Female,Living comfortably,About the same,No,No,Yes,1.0342
White,"$50,000–$99,999",Some college/technical or associates degree,75+,Female,Doing okay,About the same,No,Yes,Yes,0.7471
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Living comfortably,About the same,Yes,,Yes,0.8333
White,"$50,000–$99,999",Some college/technical or associates degree,75+,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.7663
White,"$100,000 or more",High school degree or GED,55-64,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.8026
White,"$50,000–$99,999",Bachelor's degree or more,25-34,Male,Doing okay,About the same,Yes,,Yes,1.1588
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.8514
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.6324
White,"$50,000–$99,999",High school degree or GED,75+,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.8969
White,"$50,000–$99,999",Bachelor's degree or more,65-74,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.4754
Hispanic,"$100,000 or more",Bachelor's degree or more,45-54,Male,Living comfortably,About the same,Yes,,Yes,0.5821
White,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Just getting by,About the same,No,No,No,1.3401
Black,"$50,000–$99,999",Bachelor's degree or more,75+,Female,Just getting by,Somewhat worse off,No,No,No,0.7743
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,Much better off,Yes,,Yes,0.6324
White,"$100,000 or more",High school degree or GED,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.2756
White,"$100,000 or more",High school degree or GED,55-64,Female,Just getting by,Somewhat worse off,No,Yes,No,1.2184
White,"$50,000–$99,999",High school degree or GED,65-74,Male,Doing okay,About the same,Yes,,Yes,1.0585
White,"Less than $25,000",High school degree or GED,35-44,Female,Doing okay,About the same,Yes,,Yes,0.7076
Black,"Less than $25,000",Less than a high school degree,55-64,Female,Finding it difficult to get by,Somewhat worse off,No,No,No,1.0509
White,"$50,000–$99,999",High school degree or GED,45-54,Female,Doing okay,About the same,No,No,Yes,0.9856
White,"$100,000 or more",Bachelor's degree or more,75+,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.9365
White,"Less than $25,000",Some college/technical or associates degree,65-74,Female,Doing okay,About the same,No,No,Yes,0.5217
White,"Less than $25,000",Some college/technical or associates degree,75+,Female,Just getting by,Much worse off,No,No,No,0.652
White,"$100,000 or more",High school degree or GED,55-64,Male,Doing okay,About the same,Yes,,Yes,0.6881
White,"Less than $25,000",High school degree or GED,55-64,Male,Just getting by,Somewhat better off,No,No,No,0.7639
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Living comfortably,Much better off,Yes,,Yes,1.0543
White,"$50,000–$99,999",Bachelor's degree or more,75+,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.8514
White,"$50,000–$99,999",Some college/technical or associates degree,55-64,Male,Doing okay,Much worse off,Yes,,Yes,0.9236
White,"Less than $25,000",High school degree or GED,25-34,Female,Just getting by,Much worse off,No,No,No,1.2261
White,"$100,000 or more",Bachelor's degree or more,75+,Female,Living comfortably,About the same,Yes,,Yes,0.9365
White,"Less than $25,000",Bachelor's degree or more,75+,Male,Doing okay,About the same,No,Yes,Yes,0.3234
White,"$50,000–$99,999",Bachelor's degree or more,18-24,Male,Doing okay,About the same,Yes,,Yes,0.6932
Other,"$50,000–$99,999",High school degree or GED,55-64,Female,Just getting by,About the same,Yes,,No,0.5524
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Doing okay,Somewhat better off,Yes,,Yes,0.6936
White,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Living comfortably,About the same,Yes,,Yes,1.0696
Hispanic,"Less than $25,000",Some college/technical or associates degree,35-44,Female,Finding it difficult to get by,Much worse off,No,No,No,1.3603
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Just getting by,About the same,No,No,No,0.7856
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.5461
Black,"$50,000–$99,999",High school degree or GED,45-54,Female,Finding it difficult to get by,Somewhat worse off,No,No,No,1.561
White,"$100,000 or more",Bachelor's degree or more,65-74,Female,Living comfortably,Somewhat better off,Yes,,Yes,1.0279
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Living comfortably,About the same,No,Yes,Yes,1.247
White,"$50,000–$99,999",Some college/technical or associates degree,25-34,Female,Doing okay,Somewhat better off,Yes,,Yes,1.1588
White,"$50,000–$99,999",Bachelor's degree or more,75+,Male,Doing okay,Somewhat better off,Yes,,Yes,0.4877
Hispanic,"$50,000–$99,999",Some college/technical or associates degree,45-54,Female,Living comfortably,About the same,Yes,,Yes,1.0376
White,"$25,000–$49,999",High school degree or GED,45-54,Female,Just getting by,Somewhat worse off,No,No,No,0.9672
White,"$25,000–$49,999",High school degree or GED,65-74,Male,Just getting by,Somewhat worse off,No,No,No,0.86
White,"$50,000–$99,999",Some college/technical or associates degree,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.7282
White,"$100,000 or more",Less than a high school degree,65-74,Male,Living comfortably,Somewhat better off,Yes,,Yes,1.1609
White,"$25,000–$49,999",Bachelor's degree or more,65-74,Female,Just getting by,About the same,Yes,,No,0.6462
White,"$25,000–$49,999",High school degree or GED,65-74,Male,Doing okay,About the same,No,No,Yes,0.7842
White,"$100,000 or more",Some college/technical or associates degree,35-44,Female,Living comfortably,About the same,Yes,,Yes,1.4578
Hispanic,"Less than $25,000",Bachelor's degree or more,35-44,Female,Just getting by,Somewhat worse off,No,Yes,No,0.7965
White,"$100,000 or more",Some college/technical or associates degree,65-74,Male,Doing okay,Somewhat worse off,No,Yes,Yes,0.8154
White,"$50,000–$99,999",Bachelor's degree or more,65-74,Female,Living comfortably,About the same,Yes,,Yes,0.7413
Hispanic,"$100,000 or more",Less than a high school degree,45-54,Male,Doing okay,About the same,Yes,,Yes,2.3121
White,"$50,000–$99,999",High school degree or GED,55-64,Male,Doing okay,Somewhat worse off,Yes,,Yes,1.0108
White,"$100,000 or more",Some college/technical or associates degree,75+,Female,Living comfortably,About the same,Yes,,Yes,1.2884
White,"$25,000–$49,999",Some college/technical or associates degree,65-74,Female,Living comfortably,About the same,Yes,,Yes,0.858
White,"$50,000–$99,999",Bachelor's degree or more,75+,Male,Doing okay,Somewhat better off,Yes,,Yes,0.4877
Black,"Less than $25,000",Some college/technical or associates degree,65-74,Female,Just getting by,About the same,No,Yes,No,0.8579
White,"$100,000 or more",Some college/technical or associates degree,25-34,Male,Doing okay,About the same,Yes,,Yes,1.0521
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Living comfortably,Somewhat better off,Yes,,Yes,1.0543
White,"$50,000–$99,999",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,0.6462
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.6936
White,"$50,000–$99,999",Bachelor's degree or more,75+,Female,Living comfortably,About the same,Yes,,Yes,0.7275
White,"$100,000 or more",Some college/technical or associates degree,45-54,Male,Just getting by,Somewhat worse off,No,Yes,No,1.3867
White,"$50,000–$99,999",Bachelor's degree or more,45-54,Female,Doing okay,Somewhat worse off,No,Yes,Yes,1.0071
White,"Less than $25,000",Bachelor's degree or more,18-24,Male,Doing okay,Much better off,Yes,,Yes,1.0294
White,"$50,000–$99,999",Bachelor's degree or more,45-54,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.4285
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Doing okay,About the same,No,No,Yes,0.7856
White,"$25,000–$49,999",Some college/technical or associates degree,75+,Female,Living comfortably,About the same,Yes,,Yes,0.7255
Asian,"$100,000 or more",Bachelor's degree or more,45-54,Female,Living comfortably,About the same,Yes,,Yes,1.5519
White,"$50,000–$99,999",High school degree or GED,55-64,Female,Doing okay,About the same,No,Yes,Yes,0.7967
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,0.9613
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.5601
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Doing okay,About the same,Yes,,Yes,0.8499
White,"$25,000–$49,999",High school degree or GED,75+,Female,Living comfortably,About the same,Yes,,Yes,0.7631
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,Somewhat worse off,Yes,,Yes,0.7163
Other,"$50,000–$99,999",Some college/technical or associates degree,55-64,Female,Doing okay,Somewhat worse off,Yes,,Yes,1.7858
White,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Doing okay,Somewhat worse off,Yes,,Yes,1.0899
White,"$50,000–$99,999",Bachelor's degree or more,65-74,Female,Doing okay,About the same,Yes,,Yes,0.4916
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Doing okay,About the same,Yes,,Yes,0.6324
White,"$25,000–$49,999",Bachelor's degree or more,25-34,Female,Just getting by,Somewhat worse off,No,No,No,1.0505
White,"$50,000–$99,999",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,0.6634
White,"$50,000–$99,999",Less than a high school degree,75+,Female,Doing okay,About the same,Yes,,Yes,0.7286
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Doing okay,About the same,Yes,,Yes,1.1077
White,"$25,000–$49,999",High school degree or GED,75+,Female,Doing okay,About the same,Yes,,Yes,0.7439
White,"$100,000 or more",Some college/technical or associates degree,45-54,Female,Living comfortably,About the same,Yes,,Yes,1.1754
Black,"$50,000–$99,999",Bachelor's degree or more,55-64,Female,Doing okay,About the same,Yes,,Yes,0.7373
White,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Living comfortably,About the same,Yes,,Yes,0.9681
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.7856
White,"Less than $25,000",Bachelor's degree or more,65-74,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.7413
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.2157
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Male,Living comfortably,Somewhat better off,Yes,,Yes,1.6994
Black,"$50,000–$99,999",Bachelor's degree or more,35-44,Female,Doing okay,Somewhat better off,Yes,,Yes,1.1147
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.5107
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Just getting by,About the same,No,Yes,No,0.6324
Hispanic,"$25,000–$49,999",Less than a high school degree,65-74,Female,Doing okay,Somewhat worse off,Yes,,Yes,1.4726
White,"$50,000–$99,999",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.4666
White,"$50,000–$99,999",Some college/technical or associates degree,35-44,Male,Doing okay,About the same,No,Yes,Yes,0.916
White,"$25,000–$49,999",High school degree or GED,65-74,Male,Just getting by,Much worse off,No,Yes,No,0.9854
White,"$50,000–$99,999",Some college/technical or associates degree,45-54,Female,Just getting by,Somewhat worse off,No,Yes,No,0.9064
White,"$50,000–$99,999",Bachelor's degree or more,65-74,Female,Living comfortably,Somewhat worse off,Yes,,Yes,0.5603
White,"$100,000 or more",Bachelor's degree or more,75+,Female,Living comfortably,About the same,Yes,,Yes,0.8514
