age_group,race,income,gender,JOBSAT_W157,JOBSEC_W157,AIWRKOPPO_W157,AIWRKFEEL_c_W157,AIWRKHEARD_W157,CHATWRK_W157,WEIGHT_W157
18-29,White,Upper,Female,2.0,2.0,3.0,2.0,2.0,2.0,1.3571806580843748
18-29,Asian,Low,Female,3.0,2.0,1.0,1.0,2.0,3.0,1.4313637915486788
30-49,White,Upper,Female,2.0,1.0,4.0,1.0,2.0,5.0,0.5816549046233332
30-49,Hispanic,Middle,Male,3.0,1.0,2.0,1.0,1.0,4.0,1.0635802881096414
50-64,White,Middle,Female,1.0,1.0,3.0,1.0,2.0,,0.4809079710230916
18-29,White,Middle,Male,3.0,2.0,2.0,1.0,1.0,3.0,1.9927250497574884
30-49,White,Low,Female,4.0,1.0,2.0,1.0,1.0,5.0,0.3475458744069373
50-64,White,Middle,Female,3.0,1.0,,,3.0,,1.721744077762403
30-49,Other,Upper,Male,2.0,5.0,2.0,1.0,2.0,5.0,1.1246041086767542
65+,White,Middle,Female,3.0,4.0,,,3.0,,0.9843819405010849
18-29,White,Low,Female,2.0,3.0,1.0,2.0,1.0,4.0,1.2900310905625887
50-64,White,Upper,Male,2.0,2.0,2.0,1.0,2.0,5.0,0.59183570658703
18-29,Hispanic,Middle,Male,3.0,4.0,1.0,1.0,2.0,3.0,4.764723573445259
50-64,White,Low,Male,3.0,2.0,4.0,1.0,2.0,5.0,2.1457173107752494
50-64,White,Upper,Female,3.0,5.0,2.0,1.0,2.0,,0.6970334020532697
18-29,White,Middle,Male,2.0,2.0,1.0,2.0,2.0,1.0,1.376331371241395
30-49,White,Middle,Female,3.0,3.0,3.0,1.0,1.0,5.0,0.986652811126981
30-49,White,Upper,Female,1.0,1.0,3.0,1.0,2.0,5.0,0.8604702801573041
50-64,Other,Upper,Female,2.0,1.0,4.0,1.0,2.0,5.0,0.9150789795454576
30-49,White,Upper,Female,3.0,2.0,3.0,1.0,1.0,5.0,0.1992558171134416
65+,Other,Middle,Male,2.0,2.0,3.0,2.0,2.0,5.0,1.121873229312865
50-64,Black,Middle,Female,3.0,4.0,3.0,1.0,2.0,5.0,1.116018220980458
50-64,White,Middle,Female,2.0,1.0,3.0,2.0,2.0,,0.4949207977756683
65+,Black,Middle,Male,4.0,5.0,4.0,1.0,2.0,,1.050215455486084
30-49,White,Middle,Male,3.0,2.0,4.0,1.0,2.0,4.0,1.181815428725992
50-64,White,Upper,Female,3.0,1.0,,,3.0,,0.3152900048872399
30-49,White,Middle,Female,1.0,2.0,4.0,1.0,2.0,5.0,1.4331886914292655
30-49,Hispanic,Low,Female,5.0,3.0,2.0,1.0,2.0,4.0,1.6495883136153218
30-49,Asian,Middle,Female,2.0,2.0,2.0,1.0,2.0,5.0,1.0732465536693054
50-64,White,Upper,Male,2.0,1.0,3.0,2.0,2.0,4.0,0.4374325889900412
50-64,White,Middle,Male,3.0,3.0,2.0,2.0,2.0,5.0,0.6943656642168932
50-64,Black,Low,Male,3.0,5.0,1.0,2.0,1.0,5.0,0.4372931132037116
30-49,Asian,Middle,Male,2.0,2.0,1.0,2.0,2.0,5.0,1.9951677227296405
50-64,White,Middle,Male,1.0,1.0,3.0,2.0,2.0,3.0,0.9159219480679964
50-64,White,Upper,Female,3.0,4.0,2.0,1.0,2.0,,1.4418176868183468
50-64,White,Upper,Male,1.0,2.0,3.0,1.0,1.0,5.0,0.6701336290048641
30-49,White,Middle,Male,3.0,1.0,,,3.0,5.0,0.4082620690570961
30-49,Black,Upper,Male,2.0,2.0,1.0,2.0,1.0,2.0,1.1369444361512542
50-64,White,Middle,Male,2.0,2.0,,,3.0,,0.694316165034485
30-49,White,Middle,Male,2.0,1.0,2.0,1.0,2.0,4.0,0.3820092386936358
30-49,White,Middle,Male,4.0,2.0,3.0,1.0,2.0,4.0,1.0108185344427087
50-64,White,Middle,Female,3.0,,2.0,1.0,2.0,5.0,0.3435403482485816
50-64,White,Upper,Male,3.0,2.0,4.0,1.0,1.0,5.0,0.9723347175122864
50-64,White,Upper,Female,1.0,1.0,3.0,2.0,2.0,3.0,0.6029617697934273
30-49,White,Upper,Female,3.0,2.0,3.0,2.0,1.0,3.0,0.7706782549733471
18-29,White,Middle,Female,2.0,2.0,2.0,1.0,1.0,3.0,1.2466454258531974
50-64,White,Upper,Female,3.0,1.0,2.0,1.0,2.0,5.0,0.9641385798679656
18-29,Other,Low,Male,4.0,3.0,3.0,1.0,1.0,4.0,0.3652093278023458
50-64,White,Upper,Female,2.0,1.0,4.0,1.0,2.0,5.0,0.7874283824685826
65+,White,Upper,Female,2.0,1.0,3.0,2.0,2.0,5.0,0.694446974568567
18-29,White,Middle,Female,1.0,1.0,1.0,1.0,2.0,5.0,1.6413628194573444
30-49,Black,Middle,Female,3.0,1.0,4.0,1.0,1.0,4.0,0.5544640581640482
30-49,Hispanic,Low,Other,3.0,3.0,4.0,2.0,2.0,,1.69147138404426
18-29,Other,Middle,Male,3.0,2.0,2.0,1.0,2.0,,0.9352571600064884
18-29,Hispanic,Middle,Male,3.0,2.0,2.0,1.0,2.0,5.0,4.596436644119655
50-64,Other,Middle,Male,2.0,3.0,2.0,1.0,2.0,4.0,0.6923630669588878
30-49,White,Middle,Female,1.0,1.0,3.0,2.0,2.0,2.0,0.5816035495730001
30-49,White,Low,Female,3.0,3.0,4.0,2.0,2.0,4.0,0.5859992084094087
30-49,Hispanic,Low,Male,4.0,4.0,2.0,1.0,2.0,1.0,2.4539035197212833
30-49,Black,Middle,Female,4.0,3.0,4.0,2.0,2.0,,0.8637771881743261
30-49,White,Upper,Female,2.0,1.0,3.0,1.0,2.0,4.0,0.6034526508610336
65+,White,Middle,Male,3.0,1.0,2.0,1.0,2.0,,1.4329955445048943
65+,White,Middle,Male,2.0,5.0,3.0,1.0,2.0,4.0,0.2943920518618718
50-64,White,Upper,Male,3.0,2.0,2.0,2.0,2.0,,1.4408435271439322
30-49,White,Upper,Female,1.0,1.0,3.0,1.0,1.0,4.0,0.6631247603990327
50-64,White,Upper,Male,3.0,2.0,2.0,2.0,1.0,1.0,0.8756127331865633
30-49,White,Upper,Male,3.0,1.0,3.0,1.0,1.0,1.0,0.3665453985862086
50-64,White,Upper,Female,2.0,3.0,3.0,2.0,1.0,1.0,0.3507273966280434
18-29,Hispanic,Low,Male,3.0,3.0,2.0,1.0,2.0,5.0,4.764723573445259
18-29,Asian,Middle,Female,1.0,1.0,4.0,1.0,2.0,3.0,1.9746260121579324
18-29,Hispanic,Low,Female,1.0,2.0,,,3.0,,2.0269578688347383
18-29,White,Middle,Male,2.0,3.0,,,3.0,,4.109851644558434
30-49,Other,Middle,Female,2.0,2.0,3.0,2.0,2.0,4.0,0.5280300696514492
30-49,White,Middle,Male,2.0,2.0,2.0,1.0,2.0,4.0,0.9220931186692376
30-49,White,Middle,Female,3.0,1.0,3.0,1.0,1.0,4.0,0.9335928481063576
50-64,White,Middle,Male,3.0,1.0,4.0,1.0,2.0,5.0,1.2977278199821982
30-49,Hispanic,Middle,Male,2.0,3.0,3.0,2.0,1.0,3.0,0.9214991569259566
30-49,White,Middle,Male,1.0,1.0,4.0,1.0,1.0,,0.8798043738272266
18-29,White,Middle,Male,2.0,1.0,1.0,2.0,1.0,3.0,0.9528866113091496
30-49,White,Middle,Male,2.0,2.0,3.0,2.0,2.0,4.0,0.6272563780425315
50-64,White,Middle,Male,2.0,1.0,2.0,1.0,2.0,5.0,1.2933850757673555
50-64,White,Upper,Female,3.0,2.0,3.0,2.0,1.0,1.0,0.415278852650054
30-49,Hispanic,Middle,Male,4.0,3.0,2.0,2.0,2.0,3.0,1.1287731602925384
30-49,White,Middle,Female,2.0,3.0,2.0,1.0,2.0,4.0,0.9288287605545694
50-64,White,Upper,Male,3.0,1.0,3.0,1.0,2.0,5.0,0.4941183267414967
30-49,White,Middle,Female,2.0,3.0,3.0,2.0,2.0,5.0,0.7752909975759797
50-64,White,Middle,Female,2.0,3.0,3.0,1.0,2.0,5.0,0.3215202205491469
50-64,White,Upper,Male,3.0,2.0,3.0,1.0,2.0,5.0,0.4513856215516809
18-29,Hispanic,Middle,Female,4.0,1.0,4.0,1.0,2.0,5.0,1.3602064374308056
50-64,White,Low,Female,1.0,1.0,3.0,1.0,2.0,,1.0047130471212715
18-29,White,Middle,Male,1.0,1.0,4.0,2.0,2.0,,1.7111351031979716
30-49,Black,Low,Female,2.0,4.0,,,3.0,,2.151657316323619
65+,White,Middle,Male,3.0,2.0,3.0,1.0,2.0,5.0,0.304130760989702
50-64,Hispanic,Upper,Male,3.0,2.0,3.0,1.0,1.0,2.0,0.6808904925281841
50-64,White,Middle,Female,2.0,3.0,3.0,1.0,2.0,,0.5647591161683281
50-64,White,Middle,Male,2.0,2.0,2.0,2.0,2.0,5.0,0.6205737685793487
18-29,White,Middle,Male,3.0,1.0,3.0,2.0,2.0,5.0,2.385396840408138
30-49,White,Upper,Male,2.0,1.0,4.0,1.0,2.0,3.0,0.7578029738627539
50-64,White,Middle,Male,3.0,3.0,4.0,2.0,1.0,5.0,0.1992558171134416
18-29,White,Middle,Male,2.0,3.0,4.0,1.0,2.0,3.0,4.241802585989335
30-49,White,Middle,Male,2.0,2.0,3.0,1.0,2.0,3.0,0.8140516478731512
65+,White,Middle,Male,2.0,2.0,,,3.0,5.0,0.5350861700985116
30-49,Asian,Upper,Male,2.0,3.0,3.0,2.0,1.0,4.0,0.8922709439962875
30-49,White,Upper,Male,2.0,1.0,3.0,2.0,1.0,2.0,0.2991760895170389
30-49,White,Middle,Male,2.0,1.0,3.0,1.0,2.0,5.0,0.9218633135444024
65+,White,Upper,Male,2.0,1.0,3.0,2.0,2.0,5.0,0.2535477144641057
30-49,Other,Middle,Male,3.0,3.0,3.0,1.0,1.0,1.0,0.3312279911231271
18-29,Hispanic,Low,Male,3.0,2.0,2.0,1.0,2.0,4.0,3.0938866980162807
30-49,Hispanic,Middle,Male,1.0,1.0,3.0,1.0,1.0,5.0,1.239796540359703
50-64,Black,Middle,Female,1.0,1.0,,,3.0,,1.10281108251755
30-49,White,Middle,Female,3.0,1.0,4.0,1.0,2.0,4.0,0.8026308244147181
18-29,White,Low,Female,2.0,1.0,3.0,1.0,2.0,,0.8782072705835727
30-49,White,Upper,Female,2.0,1.0,,,3.0,,0.3110395800073293
50-64,White,Middle,Female,2.0,2.0,4.0,1.0,2.0,4.0,0.4040736877863224
30-49,Hispanic,Middle,Male,1.0,1.0,3.0,2.0,1.0,2.0,0.5668660129040842
30-49,White,Middle,Female,3.0,2.0,4.0,1.0,2.0,4.0,0.9247557511694792
18-29,White,Middle,Male,2.0,1.0,3.0,2.0,2.0,5.0,3.086657414368345
50-64,Black,Upper,Male,1.0,1.0,2.0,1.0,1.0,,0.2841985200359496
30-49,Black,Upper,Female,1.0,1.0,2.0,1.0,2.0,4.0,0.2408619833995666
50-64,White,Upper,Female,4.0,5.0,2.0,1.0,2.0,5.0,0.1992558171134416
50-64,White,Upper,Female,3.0,2.0,4.0,1.0,2.0,2.0,0.5502931989598547
30-49,White,Upper,Male,2.0,1.0,1.0,1.0,2.0,4.0,0.7983890312596207
50-64,White,Middle,Female,2.0,1.0,3.0,1.0,2.0,5.0,0.6625180088730476
30-49,White,Middle,Male,3.0,1.0,2.0,1.0,1.0,2.0,0.9055234068859446
30-49,White,Upper,Female,3.0,1.0,3.0,1.0,2.0,4.0,0.5736116958174343
30-49,White,Upper,Female,3.0,3.0,3.0,2.0,1.0,1.0,0.5084310323686995
18-29,White,Low,Male,4.0,4.0,1.0,2.0,2.0,,3.1242002464744325
50-64,Asian,Middle,Female,2.0,1.0,3.0,2.0,2.0,4.0,0.4051721778382229
50-64,Black,Middle,Male,3.0,4.0,1.0,2.0,1.0,5.0,1.4250479025588396
18-29,Asian,Middle,Male,2.0,2.0,2.0,1.0,2.0,2.0,2.161778027670211
65+,White,Low,Female,1.0,2.0,3.0,2.0,2.0,4.0,0.3830282397274689
50-64,White,Middle,Male,3.0,2.0,3.0,2.0,1.0,3.0,0.7299920493213407
50-64,White,Middle,Male,1.0,1.0,4.0,1.0,2.0,,1.2698242062719007
30-49,Black,Middle,Male,2.0,1.0,4.0,2.0,1.0,5.0,0.915237875963096
18-29,Black,Middle,Male,2.0,5.0,3.0,2.0,2.0,2.0,4.764723573445259
50-64,Asian,Middle,Male,4.0,1.0,2.0,1.0,2.0,,0.7691627974079215
18-29,White,Middle,Female,3.0,3.0,3.0,1.0,1.0,3.0,0.9956487735993452
18-29,White,Middle,Female,3.0,2.0,3.0,1.0,2.0,2.0,1.2063314872907172
50-64,Hispanic,Middle,Female,3.0,1.0,2.0,1.0,2.0,5.0,0.5646376365381458
18-29,Other,Upper,Female,3.0,2.0,3.0,1.0,2.0,1.0,1.63947752580533
18-29,Hispanic,Low,Male,2.0,2.0,2.0,2.0,2.0,3.0,3.745242873690837
50-64,White,Middle,Female,3.0,5.0,2.0,1.0,2.0,,0.6205765599220917
30-49,Other,Middle,Male,2.0,1.0,1.0,2.0,1.0,1.0,0.3259433993473065
30-49,Asian,Middle,Male,3.0,3.0,2.0,2.0,1.0,5.0,0.6074618669768272
30-49,White,Middle,Male,3.0,2.0,2.0,1.0,2.0,5.0,1.132767314842567
18-29,White,Middle,Female,1.0,2.0,2.0,1.0,2.0,,2.472605994594432
30-49,White,Low,Female,5.0,3.0,2.0,1.0,2.0,5.0,0.7212251833315265
18-29,White,Middle,Female,2.0,1.0,2.0,2.0,1.0,5.0,2.0317072279754385
18-29,White,Low,Female,2.0,1.0,2.0,1.0,1.0,,2.0123013326242
18-29,White,Upper,Female,2.0,2.0,3.0,2.0,2.0,,0.868111795469052
50-64,White,Upper,Female,3.0,2.0,2.0,1.0,2.0,5.0,0.711917107007694
30-49,White,Upper,Male,3.0,1.0,2.0,1.0,2.0,5.0,3.3608536524624384
30-49,White,Middle,Female,3.0,1.0,3.0,2.0,2.0,5.0,0.6388007448412957
65+,Black,Upper,Male,1.0,1.0,3.0,2.0,2.0,,0.555094836507397
50-64,Black,Middle,Female,1.0,1.0,4.0,1.0,2.0,5.0,0.5714752754467743
65+,White,Upper,Male,2.0,2.0,3.0,1.0,2.0,5.0,0.478677624965019
30-49,White,Middle,Female,4.0,4.0,2.0,1.0,2.0,4.0,0.4446502770464705
18-29,Hispanic,Low,Female,3.0,5.0,2.0,1.0,2.0,5.0,2.5672350598707463
65+,White,Middle,Female,2.0,1.0,,,3.0,,0.3337171630508342
30-49,White,Upper,Female,3.0,4.0,3.0,1.0,2.0,5.0,1.1097369701705992
30-49,White,Upper,Male,2.0,2.0,,,3.0,,1.7638636848594635
50-64,Black,Middle,Female,3.0,1.0,3.0,1.0,2.0,,0.629672746625249
50-64,White,Middle,Female,2.0,1.0,3.0,1.0,2.0,5.0,0.6550819885801419
30-49,White,Low,Male,2.0,1.0,,,3.0,,1.988443231797611
50-64,White,Middle,Male,4.0,2.0,4.0,1.0,2.0,5.0,0.645489221174133
50-64,White,Upper,Male,2.0,1.0,1.0,1.0,1.0,3.0,0.5743303908820494
30-49,White,Upper,Female,3.0,1.0,2.0,1.0,2.0,5.0,0.8869494528868138
18-29,White,Low,Female,2.0,3.0,,,3.0,4.0,0.8482354805157716
50-64,White,Upper,Female,3.0,2.0,2.0,1.0,2.0,,0.9042580138704306
65+,White,Middle,Female,3.0,2.0,,,3.0,,1.4196546510157275
18-29,Hispanic,Middle,Female,5.0,5.0,,,3.0,,0.1992558171134416
50-64,Other,Upper,Male,3.0,2.0,3.0,2.0,1.0,4.0,0.3865671140051167
50-64,White,Middle,Female,1.0,1.0,2.0,1.0,1.0,5.0,0.9894188666679232
30-49,White,Upper,Female,1.0,2.0,2.0,1.0,2.0,5.0,0.4328470154424474
65+,White,Middle,Male,2.0,1.0,2.0,2.0,2.0,5.0,0.1992558171134416
30-49,White,Middle,Male,2.0,1.0,3.0,1.0,1.0,2.0,0.562230548520729
18-29,Black,Middle,Female,2.0,2.0,,,3.0,5.0,0.978938573770442
30-49,Black,Upper,Female,3.0,2.0,3.0,2.0,1.0,1.0,0.9482117517026676
30-49,White,Upper,Male,2.0,3.0,3.0,1.0,1.0,5.0,0.9765901055858603
30-49,Hispanic,Middle,Female,2.0,1.0,4.0,2.0,1.0,1.0,0.4994783326430364
18-29,White,Low,Male,2.0,3.0,3.0,1.0,2.0,5.0,2.2185929417813868
30-49,Hispanic,Middle,Female,2.0,1.0,,,3.0,5.0,1.4977822223065835
30-49,White,Middle,Female,4.0,1.0,2.0,1.0,2.0,5.0,0.514338592534548
30-49,Black,Middle,Female,3.0,2.0,,,3.0,5.0,0.7796953465277328
30-49,White,Middle,Male,3.0,4.0,4.0,2.0,2.0,4.0,1.0140625394331646
30-49,White,Middle,Male,3.0,5.0,2.0,1.0,1.0,3.0,0.3948570187303328
65+,Black,Middle,Female,2.0,1.0,3.0,2.0,1.0,3.0,0.3448040303086677
65+,White,Upper,Male,3.0,4.0,4.0,2.0,2.0,5.0,0.687296226859268
30-49,White,Middle,Female,3.0,1.0,2.0,1.0,2.0,,0.7991728520759543
30-49,Other,Upper,Female,3.0,5.0,2.0,1.0,1.0,3.0,1.0532641683433603
30-49,White,Upper,Female,3.0,2.0,3.0,2.0,2.0,5.0,0.3367786467012938
50-64,Asian,Middle,Female,2.0,1.0,,,3.0,,1.073293705684634
18-29,White,Upper,Male,2.0,2.0,4.0,2.0,2.0,2.0,1.7070001780509845
30-49,White,Low,Male,4.0,5.0,4.0,1.0,2.0,4.0,0.8457212181858199
30-49,Other,Low,Male,3.0,4.0,3.0,1.0,2.0,5.0,0.5802382450849204
50-64,White,Upper,Female,3.0,2.0,,,3.0,,0.3519877018966723
30-49,White,Middle,Female,3.0,5.0,4.0,2.0,2.0,5.0,0.466822702256588
50-64,White,Upper,Male,3.0,4.0,2.0,1.0,1.0,,0.661820114429616
30-49,Black,Upper,Male,2.0,2.0,1.0,1.0,1.0,4.0,0.4358817119968498
30-49,Black,Low,Female,2.0,1.0,2.0,2.0,2.0,4.0,0.7863270576398378
65+,White,Middle,Female,3.0,1.0,3.0,2.0,2.0,5.0,0.7452024655362909
50-64,White,Upper,Female,2.0,4.0,4.0,1.0,1.0,4.0,0.5271386535150394
30-49,White,Low,Female,3.0,4.0,,,3.0,,1.307233688565126
65+,White,Middle,Male,1.0,1.0,,,3.0,,0.5840465289892905
30-49,Other,Middle,Male,3.0,2.0,3.0,2.0,1.0,5.0,0.9364164066244756
30-49,White,Low,Female,3.0,2.0,2.0,2.0,2.0,4.0,0.6103480001055364
30-49,White,Middle,Male,3.0,2.0,3.0,2.0,2.0,5.0,0.5800594203300946
50-64,Black,Low,Female,2.0,2.0,2.0,1.0,2.0,,0.6042017751293298
65+,Black,Low,Female,3.0,5.0,,,3.0,5.0,0.9058130268893668
30-49,White,Upper,Female,2.0,2.0,3.0,1.0,2.0,5.0,0.5789684143285593
30-49,White,Low,Female,2.0,1.0,2.0,1.0,2.0,5.0,1.6221238311901367
50-64,Hispanic,Upper,Male,1.0,1.0,1.0,2.0,1.0,4.0,0.7035915293431613
30-49,White,Middle,Female,3.0,1.0,,,3.0,,1.7538283849631773
30-49,White,Low,Male,1.0,1.0,3.0,2.0,2.0,4.0,1.0788278336926838
30-49,White,Middle,Male,2.0,1.0,,,3.0,5.0,0.8184543313579171
30-49,White,Middle,Female,1.0,2.0,4.0,1.0,2.0,,0.464194259333254
30-49,White,Upper,Male,1.0,1.0,3.0,1.0,2.0,4.0,0.5172668875558784
50-64,White,Middle,Female,1.0,1.0,,,3.0,,0.669280168837104
30-49,Black,Low,Female,2.0,2.0,4.0,1.0,2.0,2.0,1.309670495605494
18-29,Hispanic,Middle,Male,2.0,1.0,2.0,1.0,2.0,,4.432563299596376
30-49,White,Upper,Male,5.0,4.0,,,3.0,,1.123523529321815
30-49,Asian,Middle,Male,2.0,2.0,3.0,2.0,2.0,5.0,1.7425272087350283
50-64,Hispanic,Low,Female,4.0,3.0,3.0,2.0,1.0,4.0,2.272401332765729
18-29,Black,Upper,Female,3.0,3.0,4.0,1.0,1.0,5.0,1.4233149193686163
30-49,White,Middle,Female,3.0,4.0,2.0,1.0,2.0,5.0,1.2011563952873998
30-49,Other,Upper,Female,5.0,5.0,2.0,1.0,2.0,2.0,0.3710648140204676
18-29,Hispanic,Low,Female,3.0,2.0,2.0,2.0,2.0,,1.3644932579593425
50-64,Hispanic,Middle,Female,3.0,2.0,3.0,2.0,2.0,5.0,3.0029669113629875
50-64,White,Middle,Male,2.0,1.0,4.0,2.0,2.0,,0.8356159382979865
30-49,White,Middle,Female,4.0,4.0,2.0,1.0,1.0,4.0,0.586000768427215
50-64,White,Low,Female,1.0,1.0,1.0,2.0,2.0,3.0,0.1992558171134416
50-64,White,Middle,Male,1.0,2.0,2.0,1.0,1.0,5.0,0.424617736356994
50-64,White,Upper,Female,1.0,2.0,1.0,2.0,1.0,2.0,0.6411245097377204
50-64,White,Upper,Male,1.0,1.0,4.0,2.0,1.0,5.0,0.7251393828375986
30-49,White,Low,Male,3.0,2.0,2.0,1.0,1.0,5.0,1.963765647126959
